2025-12-18 01:52:01 | ::1 | uasuser | SUCCESS
2025-12-18 01:52:36 | ::1 | uasuser | SUCCESS
2025-12-18 01:55:53 | ::1 | uasuser | SUCCESS
2025-12-18 01:58:32 | ::1 | 1 | FAILED
2025-12-18 01:58:36 | ::1 | 1 | FAILED
2025-12-18 01:58:39 | ::1 | 1 | FAILED
2025-12-18 01:58:45 | ::1 | uasuser | SUCCESS
2025-12-18 02:04:22 | ::1 | uasuser | SUCCESS
2025-12-18 02:09:11 | ::1 | uasuser | SUCCESS
2025-12-18 02:10:04 | ::1 | uasuser | SUCCESS
2025-12-18 02:16:31 | ::1 | 2 | FAILED
2025-12-18 02:16:36 | ::1 | 1 | BLOCKED_ATTEMPT
2025-12-18 02:16:47 | ::1 | uasuser | SUCCESS
[2025-12-18 02:52:11] IP:::1 | USER:uasuser | STATUS:SUCCESS
